Date,Time,Status,Mode,Temperature,Fan_speed,Wind_direction,,,,
10/3/2020,21:59:15,On,Dry,20,2,Fix,,,,
10/3/2020,21:59:17,On,Dry,20,2,Swing,,,,
10/3/2020,21:59:19,Off,Dry,20,2,Swing,,,,
10/3/2020,21:59:20,On,Dry,20,2,Swing,,,,
10/3/2020,22:00:21,On,Dry,20,2,Swing,,,,
10/3/2020,22:00:25,On,Auto,20,2,Swing,,,,
10/3/2020,22:00:26,On,Auto,21,2,Swing,,,,
10/3/2020,22:00:27,On,Auto,22,2,Swing,,,,
10/3/2020,22:00:27,On,Auto,23,2,Swing,,,,
10/3/2020,22:00:28,On,Auto,24,2,Swing,,,,
10/3/2020,22:00:29,On,Auto,24,4,Swing,,,,
10/3/2020,22:00:31,On,Auto,24,4,Fix,,,,
10/3/2020,22:00:37,On,Auto,24,2,Fix,,,,
10/3/2020,22:00:41,On,Dry,24,2,Fix,,,,
10/3/2020,22:00:44,On,Dry,24,2,Fix,,,,
10/3/2020,22:00:45,Off,Dry,24,2,Fix,,,,
10/3/2020,22:00:46,On,Dry,24,2,Fix,,,,
10/3/2020,22:00:48,On,Cool,24,2,Fix,,,,
10/3/2020,22:00:49,On,Cool,25,2,Fix,,,,
10/3/2020,22:00:49,On,Cool,26,2,Fix,,,,
10/3/2020,22:00:51,On,Cool,26,4,Fix,,,,
10/3/2020,22:00:52,On,Cool,26,4,Swing,,,,
10/3/2020,22:01:12,On,Cool,25,4,Swing,,,,
10/3/2020,22:01:13,On,Cool,24,4,Swing,,,,
10/3/2020,22:01:13,On,Cool,23,4,Swing,,,,
10/3/2020,22:01:14,On,Cool,22,4,Swing,,,,
10/3/2020,22:03:23,Off,Auto,20,3,Fix,,,,
10/3/2020,22:03:28,Off,Auto,20,3,Swing,,,,
10/3/2020,22:03:29,Off,Auto,20,2,Swing,,,,10/3/2020,23:10:55,On,Cool,27,02,Swing
10/3/2020,23:11:9,On,Auto,27,02,Swing
10/3/2020,23:11:16,On,Dry,27,02,Swing
10/3/2020,23:11:38,Off,Dry,27,02,Swing
10/3/2020,23:11:42,Off,Dry,27,02,Swing
10/3/2020,23:11:53,On,Dry,27,02,Swing
10/3/2020,23:12:12,Off,Dry,27,02,Swing
10/3/2020,23:13:4,Off,Dry,27,00,Swing
10/3/2020,23:13:27,Off,Dry,27,03,Swing
10/3/2020,23:13:30,Off,Dry,27,04,Swing
